| Offset | Size | Field                       | Description                                                                                                                                                                                                                                                                                                                       |
| 0      | 2    | Magic                       | The unsigned integer that identifies the state of the image file. The most common number is 0x10B, which identifies it as a normal executable file. 0x107 identifies it as a ROM image, and 0x20B identifies it as a PE32+ executable.                                                                                            |
| 2      | 1    | MajorLinkerVersion          | The linker major version number.                                                                                                                                                                                                                                                                                                  |
| 3      | 1    | MinorLinkerVersion          | The linker minor version number.                                                                                                                                                                                                                                                                                                  |
| 4      | 4    | SizeOfCode                  | The size of the code (text) section, or the sum of all code sections if there are multiple sections.                                                                                                                                                                                                                              |
| 8      | 4    | SizeOfInitializedData       | The size of the initialized data section, or the sum of all such sections if there are multiple data sections.                                                                                                                                                                                                                    |
| 12     | 4    | SizeOfUninitializedData     | The size of the uninitialized data section (BSS), or the sum of all such sections if there are multiple BSS sections.                                                                                                                                                                                                             |
| 16     | 4    | AddressOfEntryPoint         | The address of the entry point relative to the image base when the executable file is loaded into memory. For program images, this is the starting address. For device drivers, this is the address of the initialization function. An entry point is optional for DLLs. When no entry point is present, this field must be zero. |
| 20     | 4    | BaseOfCode                  | The address that is relative to the image base of the beginning-of-code section when it is loaded into memory.                                                                                                                                                                                                                    |
| 24     | 4    | BaseOfData                  | The address that is relative to the image base of the beginning-of-data section when it is loaded into memory.                                                                                                                                                                                                                    |
| 24     | 8    | ImageBase                   | The preferred address of the first byte of image when loaded into memory; must be a multiple of 64 K. The default for DLLs is 0x10000000. The default for Windows CE EXEs is 0x00010000. The default for Windows NT, Windows 2000, Windows XP, Windows 95, Windows 98, and Windows Me is 0x00400000.                              |
| 32     | 4    | SectionAlignment            | The alignment (in bytes) of sections when they are loaded into memory. It must be greater than or equal to FileAlignment. The default is the page size for the architecture.                                                                                                                                                      |
| 36     | 4    | FileAlignment               | The alignment factor (in bytes) that is used to align the raw data of sections in the image file. The value should be a power of 2 between 512 and 64 K, inclusive. The default is 512. If the SectionAlignment is less than the architecture's page size, then FileAlignment must match SectionAlignment.                        |
| 40     | 2    | MajorOperatingSystemVersion | The major version number of the required operating system.                                                                                                                                                                                                                                                                        |
| 42     | 2    | MinorOperatingSystemVersion | The minor version number of the required operating system.                                                                                                                                                                                                                                                                        |
| 44     | 2    | MajorImageVersion           | The major version number of the image.                                                                                                                                                                                                                                                                                            |
| 46     | 2    | MinorImageVersion           | The minor version number of the image.                                                                                                                                                                                                                                                                                            |
| 48     | 2    | MajorSubsystemVersion       | The major version number of the subsystem.                                                                                                                                                                                                                                                                                        |
| 50     | 2    | MinorSubsystemVersion       | The minor version number of the subsystem.                                                                                                                                                                                                                                                                                        |
| 52     | 4    | Win32VersionValue           | Reserved, must be zero.                                                                                                                                                                                                                                                                                                           |
| 56     | 4    | SizeOfImage                 | The size (in bytes) of the image, including all headers, as the image is loaded in memory. It must be a multiple of SectionAlignment.                                                                                                                                                                                             |
| 60     | 4    | SizeOfHeaders               | The combined size of an MS-DOS stub, PE header, and section headers rounded up to a multiple of FileAlignment.                                                                                                                                                                                                                    |
| 64     | 4    | CheckSum                    | The image file checksum. The algorithm for computing the checksum is incorporated into IMAGHELP.DLL. The following are checked for validation at load time: all drivers, any DLL loaded at boot time, and any DLL that is loaded into a critical Windows process.                                                                 |
| 68     | 2    | Subsystem                   | The subsystem that is required to run this image. For more information, see Windows Subsystem .                                                                                                                                                                                                                                   |
| 70     | 2    | DllCharacteristics          | For more information, see DLL Characteristics later in this specification.                                                                                                                                                                                                                                                        |
| 72     | 8    | SizeOfStackReserve          | The size of the stack to reserve. Only SizeOfStackCommit is committed; the rest is made available one page at a time until the reserve size is reached.                                                                                                                                                                           |
| 80     | 8    | SizeOfStackCommit           | The size of the stack to commit.                                                                                                                                                                                                                                                                                                  |
| 88     | 8    | SizeOfHeapReserve           | The size of the local heap space to reserve. Only SizeOfHeapCommit is committed; the rest is made available one page at a time until the reserve size is reached.                                                                                                                                                                 |
| 96     | 8    | SizeOfHeapCommit            | The size of the local heap space to commit.                                                                                                                                                                                                                                                                                       |
| 104    | 4    | LoaderFlags                 | Reserved, must be zero.                                                                                                                                                                                                                                                                                                           |
| 108    | 4    | NumberOfRvaAndSizes         | The number of data-directory entries in the remainder of the optional header. Each describes a location and size.                                                                                                                                                                                                                 |
